
# ignored species : 2

# ../ens_synthelogs.pl -d Plants -c Brassicaceae -r arabidopsis_thaliana -o  -f  -a 1 -t protein -G 75 -L 0

# supported species in NCBI taxon Brassicaceae : 4

# total selected species : 4

# re-using /homes/bcontreras/plant_tools/compara/downloads/Compara.100.protein_default.homologies.arabidopsis_thaliana.tsv.gz

# re-using /homes/bcontreras/plant_tools/compara/downloads/Arabidopsis_thaliana.TAIR10.47.gtf.gz

gene	location	arabidopsis_lyrata	brassica_rapa	brassica_oleracea	arabidopsis_thaliana
AT1G03520	1:877861-880259:-	scaffold_100299.1	NA	NA	AT1G03520.1
AT1G03530	1:880384-883599:-	fgenesh1_pm.C_scaffold_1000230	NA	Bo8g002480.1	AT1G03530.1
AT1G03540	1:883683-885611:+	scaffold_100301.1	Bra030534.1-P	Bo8g002490.1	AT1G03540.1
AT1G03550	1:885623-887956:-	fgenesh2_kg.1__284__AT1G03550.1	Bra030535.1-P	Bo8g002500.1	AT1G03550.1
AT1G03560	1:890155-892492:-	fgenesh1_pm.C_scaffold_1000233	NA	NA	AT1G03560.1
AT1G03590	1:894238-897718:-	Al_scaffold_0001_275	Bra033411.1-P,Bra030536.1-P	Bo8g002510.1	AT1G03590.1
AT1G03600	1:898480-899794:+	fgenesh2_kg.1__286__AT1G03600.1	Bra033412.1-P,Bra030537.1-P	Bo5g003960.1,Bo8g002520.1	AT1G03600.1
AT1G03610	1:900732-903070:+	fgenesh2_kg.1__287__AT1G03610.1	Bra033413.1-P,Bra030538.1-P	Bo8g002530.1,Bo5g003970.1	AT1G03610.1
AT1G03620	1:904032-907643:-	Al_scaffold_0001_278	Bra030539.1-P,Bra033414.1-P	Bo8g002550.1,Bo5g003980.1	AT1G03620.12
AT1G03630	1:907523-909650:+	fgenesh2_kg.1__289__AT1G03630.1	NA	NA	AT1G03630.1
AT1G03650	1:910023-911292:-	fgenesh1_pm.C_scaffold_1000239	NA	NA	AT1G03650.1
AT1G03660	1:911310-913808:-	NA	NA	Bo8g116020.1,Bo8g116010.1	AT1G03660.1
AT1G03680	1:916772-918064:-	fgenesh2_kg.1__292__AT1G03680.1	NA	NA	AT1G03680.1
AT1G03700	1:920950-922098:+	fgenesh2_kg.1__295__AT1G03700.1	NA	NA	AT1G03700.1
AT1G03710	1:923390-924730:+	fgenesh2_kg.1__297__AT1G03710.1	NA	NA	AT1G03710.1
AT1G03720	1:924896-926373:-	fgenesh1_pm.C_scaffold_1000244	Bra015259.1-P	NA	AT1G03720.1
AT1G03730	1:930715-931985:-	fgenesh2_kg.1__299__AT1G03730.1	NA	NA	AT1G03730.1
AT1G03740	1:933426-937152:+	NA	Bra015260.1-P	NA	AT1G03740.1
AT1G03750	1:937826-941162:+	Al_scaffold_0001_294	NA	NA	AT1G03750.1
AT1G03760	1:941062-943377:-	fgenesh2_kg.1__303__AT1G03760.1	Bra015261.1-P	Bo5g004040.1	AT1G03760.1
AT1G03770	1:944572-947682:+	fgenesh2_kg.1__304__AT1G03770.1	Bra015262.1-P	Bo5g004050.1	AT1G03770.2
AT1G03780	1:947520-951850:-	fgenesh2_kg.1__305__AT1G03780.2	Bra015263.1-P	Bo5g004070.1	AT1G03780.3
AT1G03790	1:954290-956144:+	fgenesh2_kg.1__307__AT1G03790.1	Bra015264.1-P	Bo5g004080.1	AT1G03790.1
AT1G03810	1:958759-959609:+	fgenesh1_pm.C_scaffold_1000251	Bra015268.1-P	Bo5g004100.1	AT1G03810.1
AT1G03820	1:959790-960916:-	scaffold_100333.1	Bra030543.1-P,Bra015269.1-P	Bo5g004110.1	AT1G03820.1
AT1G03830	1:961684-966790:-	NA	Bra030544.1-P	NA	AT1G03830.2
AT1G03840	1:967470-970334:-	fgenesh2_kg.1__311__AT1G03840.2	Bra015271.1-P	Bo5g004120.1	AT1G03840.1
AT1G03850	1:975871-977911:-	fgenesh2_kg.1__312__AT1G03850.2	Bra015272.1-P	Bo5g004150.1	AT1G03850.1
AT1G03860	1:979307-982002:-	fgenesh2_kg.1__315__AT1G03860.1	Bra015273.1-P	Bo5g004160.1	AT1G03860.3
AT1G03870	1:982381-983544:-	fgenesh2_kg.1__316__AT1G03870.1	Bra015274.1-P	Bo5g004170.1	AT1G03870.1
AT1G03880	1:985751-988146:+	fgenesh2_kg.1__317__AT1G03880.1	Bra015275.1-P	NA	AT1G03880.1
AT1G03890	1:989198-991020:+	fgenesh2_kg.1__318__AT1G03890.1	NA	NA	AT1G03890.1
AT1G03900	1:991106-993126:+	NA	Bra015277.1-P	NA	AT1G03900.1
AT1G03905	1:993400-995989:+	fgenesh1_pm.C_scaffold_1000259	NA	NA	AT1G03905.1
AT1G03910	1:996076-1000629:+	fgenesh1_pg.C_scaffold_1000279	NA	NA	AT1G03910.2
AT1G03920	1:1001116-1004410:+	fgenesh1_pm.C_scaffold_1000262	NA	NA	AT1G03920.1
AT1G03930	1:1004688-1008370:+	Al_scaffold_0001_315	NA	NA	AT1G03930.1
AT1G03950	1:1011151-1013365:-	scaffold_100351.1	NA	NA	AT1G03950.1
AT1G03960	1:1013643-1017957:+	fgenesh2_kg.1__326__AT1G03960.1	NA	NA	AT1G03960.1
AT1G03970	1:1018058-1019247:+	fgenesh2_kg.1__328__AT1G03970.1	Bra015281.1-P	NA	AT1G03970.1
AT1G03980	1:1019311-1022108:-	fgenesh1_pg.C_scaffold_1000285	NA	NA	AT1G03980.2
AT1G03982	1:1022251-1023719:-	Al_scaffold_0001_321	Bra015282.1-P	Bo5g004240.1,Bo8g115800.1	AT1G03982.1
AT1G03990	1:1024740-1027616:+	fgenesh2_kg.1__330__AT1G03990.1	Bra015283.1-P	Bo5g004250.1	AT1G03990.1
AT1G04000	1:1027853-1029119:-	fgenesh2_kg.1__331__AT1G04000.1	Bra015284.1-P	Bo8g115790.1,Bo5g004260.1	AT1G04000.1
AT1G04010	1:1030957-1036264:-	fgenesh2_kg.1__332__AT1G04010.1	Bra032533.1-P	NA	AT1G04010.1
AT1G04020	1:1036493-1040262:+	fgenesh2_kg.1__333__AT1G04020.1	NA	NA	AT1G04020.1
AT1G04030	1:1040375-1042892:+	fgenesh1_pg.C_scaffold_1000291	NA	NA	AT1G04030.1
AT1G04040	1:1042362-1043887:-	fgenesh2_kg.1__336__AT1G04040.1	NA	NA	AT1G04040.1
AT1G04050	1:1045598-1049864:-	fgenesh2_kg.1__337__AT1G04050.1	NA	NA	AT1G04050.1
AT1G04070	1:1050505-1051194:-	scaffold_100363.1	NA	NA	AT1G04070.1
AT1G04080	1:1051312-1056827:+	NA	Bra015287.1-P	NA	AT1G04080.3
AT1G04090	1:1057041-1059454:+	fgenesh1_pg.C_scaffold_1000294	Bra015288.1-P	Bo5g004300.1	AT1G04090.1
AT1G04100	1:1059470-1061209:+	fgenesh2_kg.1__340__AT1G04100.1	Bra015289.1-P	Bo5g004310.1	AT1G04100.1
AT1G04110	1:1061297-1063809:-	fgenesh2_kg.1__341__AT1G04110.1	Bra015290.1-P	Bo5g004320.1	AT1G04110.1
AT1G04120	1:1064264-1071080:-	scaffold_100368.1	NA	NA	AT1G04120.1
AT1G04130	1:1073274-1075568:+	fgenesh2_kg.1__343__AT1G04130.1	NA	NA	AT1G04130.1
AT1G04140	1:1075543-1080630:-	fgenesh2_kg.1__345__AT1G04140.2	Bra032528.1-P	Bo8g115740.1	AT1G04140.2
AT1G04150	1:1081024-1084431:-	Al_scaffold_0001_337	Bra032527.1-P	Bo8g115730.1	AT1G04150.1
AT1G04160	1:1086170-1096510:+	scaffold_100373.1	Bra032526.1-P	Bo8g115720.1	AT1G04160.1
AT1G04170	1:1096882-1099901:+	scaffold_100374.1	Bra032525.1-P	Bo8g115710.1	AT1G04170.2
AT1G04180	1:1104493-1106241:+	fgenesh1_pm.C_scaffold_1000285	Bra015293.1-P	NA	AT1G04180.1
AT1G04200	1:1109395-1114155:+	fgenesh2_kg.1__350__AT1G04200.1	Bra015294.1-P	Bo5g004360.1	AT1G04200.1
AT1G04210	1:1114375-1119739:+	scaffold_100378.1	Bra015295.1-P	Bo5g004370.1	AT1G04210.1
AT1G04220	1:1119699-1122786:-	fgenesh2_kg.1__352__AT1G04220.1	Bra015296.1-P	Bo5g004380.1	AT1G04220.1
AT1G04230	1:1125515-1128788:+	fgenesh2_kg.1__353__AT1G04230.1	NA	NA	AT1G04230.1
AT1G04240	1:1128149-1129689:-	scaffold_100381.1	Bra015297.1-P,Bra032521.1-P	Bo5g004390.1	AT1G04240.2
AT1G04250	1:1136078-1138663:+	fgenesh2_kg.1__355__AT1G04250.1	Bra030560.1-P,Bra015298.1-P	Bo8g002800.1,Bo5g004400.1	AT1G04250.1
AT1G04260	1:1140278-1141564:-	fgenesh2_kg.1__356__AT1G04260.1	Bra030561.1-P	NA	AT1G04260.1
AT1G04270	1:1141558-1143130:-	fgenesh2_kg.1__358__AT1G04270.1	Bra015299.1-P	Bo8g002820.1,Bo5g004420.1	AT1G04270.1
AT1G04280	1:1143436-1147091:-	Al_scaffold_0001_350	Bra015300.1-P,Bra030562.1-P	Bo8g002830.1,Bo5g004430.1	AT1G04280.1
AT1G04290	1:1147297-1148533:-	scaffold_100386.1	Bra015301.1-P	Bo8g002840.1,Bo5g004440.1	AT1G04290.1
AT1G04300	1:1148564-1154667:-	fgenesh2_kg.1__363__AT1G04300.3	NA	NA	AT1G04300.3
AT1G04310	1:1154740-1157813:-	Al_scaffold_0001_353	Bra015303.1-P,Bra030564.1-P	Bo8g002860.1,Bo5g004460.1	AT1G04310.1
AT1G04330	1:1161289-1161982:-	scaffold_100389.1	Bra015304.1-P	Bo5g004470.1	AT1G04330.1
AT1G04340	1:1162905-1164861:-	scaffold_100390.1	Bra030565.1-P	Bo8g002870.1	AT1G04340.1
AT1G04350	1:1164910-1167135:+	fgenesh2_kg.1__366__AT1G04350.1	Bra015306.1-P	Bo5g004490.1,Bo5g004500.1	AT1G04350.1
AT1G04360	1:1167288-1169034:-	scaffold_100392.1	Bra015308.1-P	Bo5g004510.1	AT1G04360.1
AT1G04370	1:1175033-1175768:+	scaffold_100393.1	NA	NA	AT1G04370.1
AT1G04380	1:1176544-1178488:-	fgenesh2_kg.1__368__AT1G04380.1	Bra015311.1-P,Bra030567.1-P	Bo5g004530.1	AT1G04380.1
AT1G04390	1:1179310-1183704:-	fgenesh1_pm.C_scaffold_1000305	Bra015312.1-P	NA	AT1G04390.1
AT1G04400	1:1185512-1188696:-	fgenesh2_kg.1__371__AT1G04400.1	Bra030568.1-P,Bra015313.1-P	Bo5g004560.1	AT1G04400.1
AT1G04410	1:1188995-1191458:-	fgenesh2_kg.1__372__AT1G04410.1	Bra015314.1-P	Bo5g004570.1	AT1G04410.1
AT1G04420	1:1191519-1193884:+	scaffold_100399.1	Bra015315.1-P	Bo5g004580.1	AT1G04420.1
AT1G04430	1:1197956-1201579:+	fgenesh2_kg.1__374__AT1G04430.1	Bra015316.1-P	Bo5g004590.1,Bo8g002970.1	AT1G04430.1
AT1G04440	1:1202160-1206009:+	scaffold_100403.1	NA	NA	AT1G04440.1
AT1G04445	1:1206760-1207939:+	fgenesh2_kg.1__377__AT1G04445.1	Bra032510.1-P,Bra032509.1-P	Bo8g115550.1	AT1G04445.2
AT1G04450	1:1208521-1210026:+	fgenesh2_kg.1__378__AT1G04450.1	Bra032508.1-P	Bo8g115540.1	AT1G04450.1
AT1G04470	1:1210924-1214841:-	fgenesh2_kg.1__379__AT1G04470.1	Bra032507.1-P	Bo8g115530.1	AT1G04470.1
AT1G04480	1:1215925-1217471:+	fgenesh2_kg.1__380__AT1G04480.1	Bra015319.1-P	Bo8g115520.1	AT1G04480.1
AT1G04490	1:1217690-1220899:-	fgenesh2_kg.1__381__AT1G04490.2	NA	NA	AT1G04490.3
AT1G04510	1:1226483-1230947:+	scaffold_100412.1	Bra015322.1-P	Bo5g004640.1	AT1G04510.1
AT1G04520	1:1231452-1234032:+	fgenesh2_kg.1__386__AT1G04520.1	Bra015323.1-P	Bo5g004650.1	AT1G04520.1
AT1G04530	1:1234176-1236206:-	fgenesh2_kg.1__387__AT1G04530.1	Bra015324.1-P	Bo5g004660.1	AT1G04530.1
AT1G04540	1:1236754-1239199:+	fgenesh2_kg.1__388__AT1G04540.1	Bra015325.1-P	Bo5g004670.1	AT1G04540.1
AT1G04550	1:1240294-1242157:+	fgenesh2_kg.1__390__AT1G04550.2	Bra015326.1-P	Bo5g004680.1	AT1G04550.2
AT1G04555	1:1242506-1244244:+	fgenesh2_kg.1__391__AT1G04555.1	NA	NA	AT1G04555.1
AT1G04560	1:1244947-1246059:+	fgenesh2_kg.1__392__AT1G04560.1	Bra015328.1-P	NA	AT1G04560.1
AT1G04570	1:1246601-1248876:-	scaffold_100422.1	Bra015329.1-P	Bo5g004700.1	AT1G04570.1
AT1G04580	1:1252005-1257893:-	fgenesh2_kg.1__394__AT1G04580.1	Bra015330.1-P	Bo5g004710.1	AT1G04580.1
AT1G04590	1:1258556-1261470:-	scaffold_100424.1	Bra015331.1-P	Bo5g004720.1	AT1G04590.2
AT1G04600	1:1261762-1272588:+	scaffold_100425.1	NA	NA	AT1G04600.1
AT1G04610	1:1279351-1281618:+	fgenesh2_kg.1__398__AT1G04610.1	Bra015334.1-P	Bo5g004740.1	AT1G04610.1
AT1G04620	1:1282163-1286619:-	fgenesh2_kg.1__399__AT1G04620.1	Bra015335.1-P	NA	AT1G04620.1
AT1G04630	1:1289734-1291112:-	fgenesh2_kg.1__400__AT1G04630.1	Bra015336.1-P	Bo5g004760.1	AT1G04630.1
AT1G04640	1:1292023-1293398:+	fgenesh1_pm.C_scaffold_1000331	Bra015337.1-P,Bra030580.1-P	NA	AT1G04640.2
AT1G04645	1:1293770-1294263:-	fgenesh2_kg.1__404__AT1G04645.1	Bra030578.1-P	Bo8g115440.1	AT1G04645.1
AT1G04650	1:1294627-1299023:-	Al_scaffold_0001_394	Bra030581.1-P,Bra015338.1-P	Bo8g004140.1	AT1G04650.1
AT1G04660	1:1300368-1301773:-	fgenesh2_kg.1__406__AT1G04660.1	Bra030582.1-P	Bo8g004160.1,Bo8g115430.1	AT1G04660.1
AT1G04670	1:1301829-1302758:+	fgenesh2_kg.1__407__AT1G04670.1	Bra015340.1-P	NA	AT1G04670.1
AT1G04680	1:1303467-1307973:-	scaffold_100437.1	Bra015341.1-P	Bo5g004810.1	AT1G04680.1
AT1G04690	1:1313443-1315823:+	fgenesh2_kg.1__409__AT1G04690.1	Bra030584.1-P,Bra015342.1-P	Bo5g004820.1,Bo8g004180.1	AT1G04690.1
AT1G04700	1:1316139-1321000:+	fgenesh2_kg.1__410__AT1G04700.1	NA	Bo5g004830.1	AT1G04700.1
AT1G04710	1:1321885-1324840:+	fgenesh2_kg.1__412__AT1G04710.1	Bra030586.1-P	Bo8g004200.1	AT1G04710.1
AT1G04730	1:1325099-1331169:-	scaffold_100442.1	NA	Bo5g004850.1	AT1G04730.1
AT1G04750	1:1331466-1333651:-	scaffold_100443.1	Bra015345.1-P,Bra030588.1-P	Bo8g004230.1	AT1G04750.1
AT1G04760	1:1334533-1336704:+	scaffold_100444.1	NA	NA	AT1G04760.2
AT1G04770	1:1336274-1337849:-	scaffold_100445.1	Bra030589.1-P,Bra015346.1-P	Bo8g004250.1,Bo5g004870.1	AT1G04770.1
AT1G04780	1:1340553-1343793:-	fgenesh2_kg.1__417__AT1G04780.1	Bra015348.1-P	Bo5g004900.1	AT1G04780.1
AT1G04790	1:1344989-1348868:+	fgenesh2_kg.1__418__AT1G04790.1	Bra015349.1-P	Bo5g004910.1	AT1G04790.1
AT1G04800	1:1348452-1349478:-	fgenesh2_kg.1__419__AT1G04800.1	Bra015350.1-P	Bo5g004920.1	AT1G04800.1
AT1G04810	1:1350080-1355466:+	fgenesh2_kg.1__420__AT1G04810.1	NA	NA	AT1G04810.1
AT1G04830	1:1358574-1362019:-	fgenesh2_kg.1__421__AT1G04830.1	NA	Bo5g004930.1	AT1G04830.2
AT1G04840	1:1362227-1365027:-	fgenesh1_pm.C_scaffold_1000349	NA	Bo5g004950.1	AT1G04840.1
AT1G04850	1:1365107-1368940:-	fgenesh2_kg.1__423__AT1G04850.1	NA	NA	AT1G04850.1
AT1G04860	1:1369036-1373103:-	fgenesh2_kg.1__424__AT1G04860.1	NA	NA	AT1G04860.1
AT1G04870	1:1373234-1375821:-	scaffold_100456.1	NA	NA	AT1G04870.2
AT1G04880	1:1375824-1379228:-	fgenesh2_kg.1__427__AT1G04880.1	NA	NA	AT1G04880.1
AT1G04890	1:1380382-1382599:-	fgenesh2_kg.1__428__AT1G04890.1	Bra015360.1-P	NA	AT1G04890.1
AT1G04900	1:1383841-1387895:+	fgenesh2_kg.1__429__AT1G04900.1	Bra015362.1-P	Bo5g005000.1	AT1G04900.1
AT1G04910	1:1387871-1391381:-	fgenesh2_kg.1__430__AT1G04910.1	Bra015363.1-P	Bo5g005010.1	AT1G04910.1
AT1G04920	1:1391434-1395953:-	fgenesh2_kg.1__431__AT1G04920.1	Bra015364.1-P	Bo5g005020.1	AT1G04920.1
AT1G04930	1:1396265-1399122:-	scaffold_100462.1	Bra015366.1-P	Bo5g005030.1	AT1G04930.2
AT1G04945	1:1399174-1403112:+	scaffold_100463.1	Bra015367.1-P	NA	AT1G04945.3
AT1G04940	1:1399182-1400830:+	scaffold_100463.1	Bra015367.1-P	NA	AT1G04940.1
AT1G04950	1:1403085-1407531:-	fgenesh1_pg.C_scaffold_1000377	NA	NA	AT1G04950.3
AT1G04960	1:1407772-1410933:-	fgenesh2_kg.1__438__AT1G04960.1	Bra015369.1-P	Bo5g005050.1	AT1G04960.2
AT1G04970	1:1411088-1413627:+	scaffold_100467.1	NA	NA	AT1G04970.1
AT1G04980	1:1413644-1416218:-	fgenesh2_kg.1__442__AT1G04980.1	NA	Bo5g005110.1	AT1G04980.1
AT1G04985	1:1416342-1419027:-	Al_scaffold_0001_428	NA	NA	AT1G04985.1
AT1G04990	1:1418612-1421863:-	Al_scaffold_0001_429	Bra015377.1-P,Bra015376.1-P	Bo5g005120.1	AT1G04990.1
AT1G05000	1:1425539-1428869:+	fgenesh2_kg.1__445__AT1G05000.1	Bra015379.1-P	Bo5g005130.1	AT1G05000.2
AT1G05005	1:1429048-1430056:+	fgenesh1_pm.C_scaffold_1000367	NA	NA	AT1G05005.1
AT1G05010	1:1431177-1433010:-	scaffold_100473.1	Bra015380.1-P	Bo5g005140.1	AT1G05010.1
AT1G05020	1:1435155-1437763:-	scaffold_100474.1	NA	NA	AT1G05020.1
AT1G05030	1:1438048-1441933:-	fgenesh2_kg.1__448__AT1G05030.1	NA	NA	AT1G05030.1
AT1G05040	1:1447369-1448463:-	fgenesh1_pg.C_scaffold_1000388	NA	NA	AT1G05040.1
AT1G05055	1:1448631-1450901:-	fgenesh2_kg.1__449__AT1G05055.1	NA	NA	AT1G05055.1
AT1G05060	1:1451002-1452872:-	fgenesh2_kg.1__450__AT1G05060.1	NA	NA	AT1G05060.1
AT1G05065	1:1454606-1455322:-	scaffold_100480.1	NA	NA	AT1G05065.1
AT1G05070	1:1457007-1458802:-	fgenesh2_kg.1__452__AT1G05070.1	Bra015386.1-P	NA	AT1G05070.1
AT1G05080	1:1459091-1460579:+	fgenesh2_kg.1__453__AT1G05080.1	NA	NA	AT1G05080.1
AT1G05087	1:1463108-1464173:+	fgenesh2_kg.1__454__AT4G20720.1	NA	NA	AT1G05087.1
AT1G05090	1:1464239-1465875:+	fgenesh2_kg.1__454__AT4G20720.1	NA	Bo5g005210.1	AT1G05090.1
AT1G05100	1:1469541-1470881:+	fgenesh2_kg.1__456__AT1G05100.1	Bra015388.1-P	Bo5g005220.1	AT1G05100.1
AT1G05120	1:1471323-1476289:-	fgenesh2_kg.1__457__AT1G05120.1	NA	NA	AT1G05120.2
AT1G05140	1:1482546-1484059:+	fgenesh2_kg.1__458__AT1G05140.1	Bra015391.1-P	NA	AT1G05140.1
AT1G05150	1:1484067-1487027:-	fgenesh2_kg.1__459__AT1G05150.1	Bra015393.1-P	NA	AT1G05150.1
AT1G05160	1:1487378-1491005:-	fgenesh2_kg.1__460__AT1G05160.1	Bra015394.1-P	Bo5g005280.1	AT1G05160.1
AT1G05170	1:1490974-1494248:-	fgenesh1_pm.C_scaffold_1000383	Bra015395.1-P	Bo5g005290.1	AT1G05170.2
AT1G05180	1:1498114-1501953:-	fgenesh2_kg.1__465__AT1G05180.1	Bra015396.1-P	Bo5g005300.1	AT1G05180.1
AT1G05190	1:1502251-1503853:-	fgenesh2_kg.1__466__AT1G05190.1	Bra015397.1-P,Bra032481.1-P	Bo8g115280.1,Bo5g005310.1	AT1G05190.1
AT1G05200	1:1504941-1509152:+	fgenesh2_kg.1__467__AT1G05200.2	Bra015398.1-P,Bra032480.1-P	Bo5g005320.1,Bo8g115270.1	AT1G05200.1
AT1G05205	1:1509103-1510341:-	fgenesh2_kg.1__469__AT1G05205.1	Bra015399.1-P	Bo5g005330.1	AT1G05205.1
AT1G05210	1:1510404-1511683:+	fgenesh2_kg.1__470__AT1G05210.1	Bra015400.1-P	Bo5g005340.1	AT1G05210.1
AT1G05220	1:1511895-1512842:+	fgenesh2_kg.1__472__AT1G05220.2	NA	NA	AT1G05220.1
AT1G05230	1:1512896-1518900:-	NA	Bra015401.1-P	Bo5g005350.1	AT1G05230.5
AT1G05260	1:1529767-1531484:+	fgenesh2_kg.1__477__AT1G05260.1	Bra015404.1-P,Bra032474.1-P	Bo5g005380.1,Bo8g115210.1	AT1G05260.1
AT1G05270	1:1531641-1534767:-	scaffold_100503.1	Bra015405.1-P	Bo5g005390.1	AT1G05270.1
AT1G05280	1:1534830-1537602:-	scaffold_100504.1	Bra015411.1-P,Bra015409.1-P	Bo5g005430.1,Bo5g005400.1	AT1G05280.1
AT1G05290	1:1539152-1540562:-	fgenesh1_pm.C_scaffold_1000396	NA	NA	AT1G05290.1
AT1G05291	1:1541348-1542432:-	fgenesh1_pm.C_scaffold_1000397	Bra015412.1-P	Bo5g005480.1	AT1G05291.1
AT1G05300	1:1544927-1547849:-	fgenesh2_kg.1__481__AT1G05300.1	Bra015415.1-P	Bo5g005490.1	AT1G05300.1
AT1G05310	1:1550503-1552587:-	Al_scaffold_0001_466	Bra015416.1-P	Bo5g005510.1	AT1G05310.1
AT1G05320	1:1553568-1557848:+	NA	Bra015417.1-P	Bo5g005520.1	AT1G05320.9
AT1G05330	1:1558058-1558745:+	scaffold_100511.1	Bra015418.1-P	Bo5g005530.1	AT1G05330.1
AT1G05340	1:1558778-1559917:-	fgenesh2_kg.1__488__AT1G05340.1	Bra015419.1-P	Bo5g005540.1	AT1G05340.1
AT1G05350	1:1560678-1564409:-	fgenesh2_kg.1__489__AT1G05350.1	Bra015420.1-P	Bo5g005550.1	AT1G05350.1
AT1G05360	1:1564491-1567508:+	scaffold_100515.1	NA	NA	AT1G05360.1
AT1G05370	1:1569147-1572469:-	scaffold_100516.1	NA	Bo5g005560.1	AT1G05370.1
AT1G05380	1:1576822-1582672:+	fgenesh2_kg.1__493__AT1G05380.2	NA	Bo5g005570.1	AT1G05380.3
AT1G05450	1:1599876-1601214:+	fgenesh2_kg.1__500__AT1G05450.2	Bra015426.1-P	Bo5g005630.1	AT1G05450.2
AT1G05460	1:1601148-1605034:-	NA	Bra015427.1-P	Bo5g005640.1	AT1G05460.1
AT1G05470	1:1607202-1611840:-	fgenesh1_pg.C_scaffold_1000431	Bra015428.1-P	Bo5g005650.1	AT1G05470.2
AT1G05490	1:1618504-1623489:-	fgenesh2_kg.1__503__AT1G05490.1	Bra015430.1-P	Bo5g005670.1	AT1G05490.1
AT1G05500	1:1624919-1629289:+	fgenesh2_kg.1__504__AT1G05500.1	Bra015431.1-P	NA	AT1G05500.1
AT1G05510	1:1629446-1630863:+	fgenesh2_kg.1__505__AT1G05510.1	NA	NA	AT1G05510.1
AT1G05520	1:1630849-1636018:-	fgenesh2_kg.1__506__AT1G05520.1	NA	NA	AT1G05520.1
AT1G05530	1:1636249-1637914:-	scaffold_100533.1	NA	NA	AT1G05530.1
AT1G05540	1:1639223-1640879:+	fgenesh2_kg.1__508__AT1G05540.1	NA	NA	AT1G05540.1
AT1G05550	1:1640959-1643917:-	fgenesh2_kg.1__509__AT1G05550.1	NA	NA	AT1G05550.3
AT1G05560	1:1645300-1647435:-	scaffold_100538.1	Bra015435.1-P	Bo5g005740.1	AT1G05560.2
AT1G05570	1:1647575-1659611:-	Al_scaffold_0001_492	NA	NA	AT1G05570.1
AT1G05575	1:1661550-1662259:-	scaffold_100540.1	Bra015437.1-P	Bo5g006790.1	AT1G05575.1
AT1G05577	1:1662352-1664398:-	fgenesh2_kg.1__512__AT1G05577.1	Bra015441.1-P	Bo5g006810.1	AT1G05577.1
AT1G05580	1:1665356-1668924:-	scaffold_100542.1	Bra015442.1-P	Bo5g006820.1	AT1G05580.1
AT1G05590	1:1669350-1671902:+	fgenesh2_kg.1__515__AT1G05590.1	NA	NA	AT1G05590.2
AT1G05600	1:1671916-1673923:+	fgenesh2_kg.1__516__AT1G05600.1	NA	Bo5g006830.1	AT1G05600.1
AT1G05610	1:1673861-1676077:-	fgenesh2_kg.1__517__AT1G05610.1	NA	NA	AT1G05610.2
AT1G05615	1:1677507-1678270:-	Al_scaffold_0001_499	NA	NA	AT1G05615.1
AT1G05620	1:1678881-1681710:+	fgenesh2_kg.1__518__AT1G05620.1	NA	NA	AT1G05620.1
AT1G05630	1:1682224-1687363:+	fgenesh2_kg.1__520__AT1G05630.1	Bra030617.1-P	NA	AT1G05630.1
AT1G05640	1:1687436-1689955:-	NA	Bra030618.1-P	NA	AT1G05640.1
AT1G05650	1:1690002-1692179:-	scaffold_100550.1	NA	NA	AT1G05650.1
AT1G05660	1:1694070-1696191:-	scaffold_100551.1	NA	NA	AT1G05660.1
AT1G05670	1:1697541-1701065:-	fgenesh2_kg.1__525__AT1G05670.1	Bra015447.1-P	NA	AT1G05670.3
AT1G05680	1:1703002-1704838:-	fgenesh2_kg.1__526__AT1G05680.1	NA	NA	AT1G05680.1
AT1G05690	1:1706736-1709360:+	scaffold_100554.1	NA	Bo5g006910.1	AT1G05690.1
AT1G05710	1:1714818-1717290:+	scaffold_100556.1	NA	NA	AT1G05710.10
AT1G05720	1:1717389-1718909:-	NA	NA	Bo8g005790.1	AT1G05720.1
AT1G05730	1:1718555-1720587:+	fgenesh2_kg.1__534__AT1G05730.1	NA	NA	AT1G05730.1
AT1G05740	1:1720593-1721309:+	Al_scaffold_0001_512	NA	NA	AT1G05740.1
AT1G05750	1:1721509-1724734:+	fgenesh2_kg.1__536__AT1G05750.1	NA	NA	AT1G05750.1
AT1G05780	1:1726558-1728520:+	fgenesh2_kg.1__538__AT1G05780.1	NA	NA	AT1G05780.1
AT1G05785	1:1730242-1732657:+	NA	Bra015452.1-P	NA	AT1G05785.6
AT1G05790	1:1732802-1737583:+	fgenesh1_pm.C_scaffold_1000440	Bra015453.1-P	NA	AT1G05790.3
AT1G05800	1:1741204-1742619:+	fgenesh2_kg.1__541__AT1G05800.1	Bra015454.1-P	Bo5g006970.1	AT1G05800.1
AT1G05805	1:1744444-1747734:+	fgenesh2_kg.1__542__AT1G05805.1	NA	NA	AT1G05805.1
AT1G05810	1:1748259-1749526:+	scaffold_100568.1	NA	NA	AT1G05810.2
AT1G05820	1:1749478-1754036:+	scaffold_100569.1	NA	NA	AT1G05820.1
AT1G05830	1:1754130-1761909:+	fgenesh1_pm.C_scaffold_1000445	NA	NA	AT1G05830.3
AT1G05835	1:1762145-1762814:+	NA	Bra030627.1-P	NA	AT1G05835.1
AT1G05840	1:1762734-1766283:-	fgenesh2_kg.1__549__AT1G05840.1	NA	NA	AT1G05840.1
